asn,hege
395354,2.7649417267777e-05
396305,3.51901674317162e-06
266539,3.75357633638909e-06
36965,4.02170860270091e-06
33771,0.00114380678418781
45903,6.43624263970246e-05
51561,1.91833990093278e-05
206433,2.7649417267777e-06
9924,0.00110021994099218
15743,7.16358691662708e-06
8680,2.93131618837673e-05
9136,1.64601202584646e-05
12680,8.04346684153513e-06
29632,2.79926628015835e-05
48635,2.9748645011796e-05
19830,5.5359601790298e-06
11841,1.01634129390028e-05
16617,7.95968072860247e-06
13720,6.61906207527859e-06
14131,5.44606373282415e-06
20098,4.02170860270091e-06
20141,4.14243286928723e-05
21777,1.73283458602067e-05
17306,0.000193210776422708
10674,3.38754347066682e-05
15083,1.650575129186e-05
51048,1.05646457897006e-05
4364,2.76492466435688e-06
12282,1.07246224553802e-05
20472,5.27849254104495e-06
11942,4.35687787249819e-06
33182,3.8363350884349e-05
18649,5.5298834535554e-06
1421,9.11123342123904e-06
22442,9.50412656476196e-06
23308,1.41590097610129e-05
12956,0.0182272566553773
13370,2.1002627363461e-05
21949,0.000216505078817182
14537,2.33382421444379e-05
26978,6.69113638177998e-06
25766,4.10551953370022e-06
25923,3.51901674317162e-06
26407,5.86502790528603e-06
17222,5.23472475876198e-05
7819,1.51142026483533e-05
22051,6.28395846994932e-06
18705,1.97735226521072e-05
32035,2.12815712407562e-05
27597,2.84861844545115e-06
29871,2.6811440800506e-06
11696,2.85773887859824e-05
30362,7.03546707139737e-06
40749,1.77078784831186e-05
203489,1.04732641165822e-05
17380,7.45696405100652e-06
11013,3.96384635040354e-06
35205,9.38404464845765e-06
43061,1.15432133063723e-05
39122,1.92095393712992e-05
35320,0.000124032717346286
24611,4.2743974366737e-06
30827,4.29887189758649e-06
29452,2.59735347257767e-06
13289,3.77731444729356e-06
30962,1.45895549685831e-05
34444,3.43523063023896e-06
34803,6.02743626096503e-06
13009,6.17362554582998e-05
29283,7.03803348634324e-06
47171,4.44066398543085e-06
41721,2.68113906846728e-06
29405,2.59556779895684e-05
9002,0.00370769368192801
8304,1.94894039246223e-05
13122,1.58597545497315e-05
8818,1.12273391329761e-05
46636,5.11095288889211e-06
39686,3.14924507191728e-05
45031,7.1217756506162e-06
42541,3.95390039485339e-06
24875,3.76326832607866e-05
207163,5.22092700086953e-06
20836,1.75369174217144e-05
47764,3.20404913492456e-05
49282,6.35031185840582e-06
812,0.00202993908611887
55644,0.000226381580695012
43350,4.01986107354591e-05
136907,0.000142866675977542
3223,0.00039326777675227
19604,7.20560571220855e-06
18703,8.04346684153513e-06
33198,2.93251395264301e-06
15009,7.20560571220855e-06
25649,1.22200505349139e-05
397642,3.18387229144099e-06
398754,1.00543335519189e-05
50533,8.78549334166193e-06
18676,0.000407288185627383
395379,4.10551953370022e-06
13485,1.74274039450373e-05
11985,6.116386244084e-06
48152,4.15569170319146e-06
57976,2.18680405271862e-05
41811,9.55155793141467e-06
11975,4.28979705477221e-05
49808,2.51097178787932e-05
18690,3.60274206876966e-06
3455,1.97732832993407e-05
393451,1.30084810121935e-05
62642,2.51354408311326e-05
51580,1.40476463841908e-05
397976,6.3676675031775e-06
201205,5.65232721554223e-06
20004,2.68115561384504e-06
61124,6.20927686612369e-06
11375,5.36231122769008e-06
30598,7.99087834289363e-06
11396,6.87037809553361e-06
9009,0.000459061442881556
36902,7.04519981803033e-06
20170,2.68115561384504e-06
5662,4.8595606421922e-06
53306,8.21103906740044e-06
8445,7.66875923330778e-05
4196,2.27896820819718e-05
7743,2.18678710407859e-05
14045,9.86743431462344e-06
20705,3.68658896903693e-06
32665,2.7649417267777e-06
395563,4.61590491081936e-06
3145,4.273040035027e-06
22221,8.37861129326576e-06
20249,5.18716382093809e-06
16677,6.45153069581463e-06
22593,1.11434842533171e-05
32066,3.68658896903693e-06
35847,1.00595324295153e-05
10794,4.23951791136757e-05
33724,1.21490616322055e-05
34984,0.00127794135791313
28209,6.78667514754526e-06
14868,3.40333499952576e-05
28343,0.000128110551099148
28258,5.27731644028261e-05
28300,1.03594229676049e-05
13999,0.000597764595602796
28509,0.00012791681000134
8301,1.06602658745639e-05
263230,3.60280285610427e-06
11815,7.03797425749719e-06
28359,1.67031228588626e-05
8053,1.30937713932512e-05
28580,3.18347591953761e-05
262761,4.20051784622906e-05
28667,1.9477787474577e-05
28283,7.80242857526174e-05
28624,3.33555456031871e-05
35745,1.01456697933509e-05
12759,9.62449452275627e-06
28554,2.97195562391021e-05
27879,2.74129277340157e-06
19429,0.000334414788876046
28299,8.04343418671965e-06
263327,7.9367367213246e-06
27843,4.19261340121253e-05
28669,1.8630233407577e-05
10668,3.68658896903693e-06
47049,2.6811440800506e-06
53913,1.53327640477972e-05
12625,3.85413741092171e-06
20647,8.86417505966663e-06
41678,1.05569224394785e-05
30889,7.78760246563524e-06
5463,3.10016996451557e-06
6762,0.0206793395875109
15965,9.37227080966024e-06
1273,0.0100112829093975
6717,6.03260013115134e-06
8224,3.68658896903693e-06
37271,0.00020790934257727
13838,3.01628709005692e-06
262807,7.09692029549255e-06
7465,8.04341720540183e-06
11432,4.36603167555791e-05
262318,1.21687655724649e-05
21571,8.0434322401518e-06
13886,3.67809975214855e-05
25792,2.59736950091238e-06
40248,2.68115561384504e-06
19721,2.68115561384504e-06
6315,3.16869785165295e-05
398034,2.68115561384504e-06
6220,9.30022319208295e-06
40913,1.58397554414198e-05
10801,6.28388240445148e-06
4574,2.61435481102482e-06
5670,2.7649417267777e-06
6130,6.14482562854761e-05
8018,6.53862134201423e-06
11915,2.14583890973903e-05
7163,2.59736950091238e-06
397913,3.26764434756167e-06
53508,3.15869822197094e-05
6203,1.07573930482438e-05
6954,4.77580843716148e-06
32806,7.45696405100652e-06
27589,3.04628289794658e-05
53907,5.71077558799918e-06
262632,6.60188348042873e-06
14265,0.000259508990610942
10676,4.02173342076756e-06
13984,1.80170328320155e-05
15293,3.18387229144099e-06
4459,4.61807002091537e-06
