,RIR region,Location (country),Location (continent),Customer cone (#ASNs),Customer cone (#prefixes),Customer cone (#addresses),AS hegemony,Country influence (CTI origin),Country influence (CTI top),#neighbors (total),#neighbors (peers),#neighbors (customers),#neighbors (providers),#IXPs (PeeringDB),#facilities (PeeringDB),Peering policy (PeeringDB),Network type (PeeringDB),Traffic ratio (PeeringDB),Traffic volume (PeeringDB),Scope (PeeringDB),Personal ASN,ASDB C1L1,ASDB C1L2,list_name
rrc20,0.3049811848745378,0.7268486033623565,0.32346609565437967,0.13624012939347246,0.17252961134439995,0.35846728061072036,0.10647978348152398,0.3450924674785912,0.453452457374231,0.8325206621020892,0.6448015245525823,0.1337232562198123,0.1910212884063376,0.17397173938486193,0.21512101502247163,0.02537785747956548,0.24259458982493123,0.32266951111262154,0.14116706189038158,0.20519528469077908,0.19030983421003644,0.27357413674651176,0.018663677203856463,rrc20
rrc21,0.23443926197216788,0.6720862490138384,0.21514686749420717,0.19988006834080682,0.26229583728144096,0.3916456027490083,0.21288781894742878,0.17728672130547013,0.25826152020476817,0.584877813694624,0.5257093316175845,0.17661049998570805,0.30513212491547587,0.5308174226280697,0.24144801126428447,0.030471020287691733,0.20227449922979854,0.28260113739230114,0.19282697594203332,0.15732658137235234,0.21430890147876902,0.4033342876127668,0.0016499167093529587,rrc21
rrc22,0.3563746879415309,0.6943034966708623,0.36625085557039694,0.19954424446184027,0.17995609473999072,0.28383931573966104,0.3610132179741196,0.5554944365592371,0.5081010844239852,0.25461891700253647,0.32681592110450775,0.1591262271398355,0.09972958545686729,0.1591947711793518,0.1031670314608129,0.028900410284237572,0.2989797849074542,0.38779621120080404,0.27311443886770953,0.2430570269480487,0.27170503123994727,0.2611631892975235,0.0074947851259099234,rrc22
rrc23,0.14490680456464716,0.5570719363142069,0.12745058532721898,0.3388214977378624,0.715233423315507,0.6219804305839671,0.4761195056594212,0.1648735687561789,0.22555678685483618,0.9076479291450831,0.9150351546702356,0.29068622246206555,0.351894756278355,0.4703090785333469,0.7136028487978742,0.050310211173854175,0.2654882963790423,0.34236245820459027,0.21936367977912827,0.0891788075427126,0.5714085039411002,0.5506667121414565,0.0074947851259099234,rrc23
rrc24,0.33619024513748735,0.6548929046261042,0.3384567663031644,0.29290659117655954,0.3621133377752461,0.41703858237865443,0.16370008209685732,0.4164809009506366,0.38953897219548816,0.39132112083402887,0.16460730442342328,0.27547555081057096,0.24979869970801416,0.13326011837420154,0.21882596231490933,0.013360371522078682,0.3199718553196989,0.3965212390320986,0.19026077406868125,0.08333115715430822,0.44773989003337483,0.34683233339560426,0.0074947851259099234,rrc24
rrc25,0.14841319382630497,0.3857882521135022,0.12281696107503916,0.16590505325278768,0.12178707347133196,0.09715727602314932,0.07215267080805603,0.080817716035371,0.26181254956535027,0.1819528703295412,0.13071444928795697,0.13133216030374806,0.06939753034236885,0.12126523163366668,0.07292178568185034,0.006200120239396756,0.13226878153867097,0.2899145130945114,0.14352747806151422,0.08555836767583945,0.062073591151776,0.2560499275330933,0.03403428266438483,rrc25
rrc26,0.2021396171459691,0.7580851439631311,0.16340606246396774,0.9125325764292713,0.9354338466786661,0.8221444500670355,0.49366992019851974,0.5860830140216606,0.250525976601335,0.854859513726801,0.9201719943174732,0.4671732099792273,0.6634732866298413,0.8005585803953823,0.13189291300451436,0.06918470887873789,0.315409280565841,0.41189629167264524,0.20988745175574142,0.0728212315794939,0.6826285149182537,0.8646889778257192,0.0074947851259099234,rrc26
Atlas,0.06299326438064029,0.11492063185483331,0.059731742441043234,0.0673297479552649,0.11680893213227093,0.21683381778571012,0.11377303756077362,0.08667542410487131,0.005118330306486386,0.1243412468895954,0.07741003899005369,0.05569657339650313,0.07394617823101018,0.037479985698762805,0.034436661421804,0.005348292944356164,0.04564628074921896,0.06136395596655871,0.025607174774981815,0.019197637985971662,0.023013138109719163,0.03427453582698297,0.002266561163221705,Atlas
RIS,0.07274289053085786,0.19160010887492107,0.0658451582920281,0.18430965003430708,0.18539799999909343,0.2085599122996016,0.1575490402713106,0.08242096000108722,0.05412195940922138,0.427966355947589,0.39054003262971043,0.15547885163477812,0.1712905994022491,0.18081460157717286,0.13936375203038984,0.015452616217950941,0.07673080767445321,0.14625147745576153,0.11827712532302001,0.09476537206501875,0.046742707306959126,0.13747961603129583,0.008183022804697569,RIS
RouteViews,0.004156774220487306,0.18834827228714116,0.007567895667792866,0.20779802732841754,0.2490468585049437,0.22859377727998573,0.19833893503493832,0.055729830689444204,0.038371676702280665,0.38116311813837733,0.3665305039765749,0.17943464716784405,0.17315966719689296,0.18629875465261406,0.17233962034124756,0.020613833097026024,0.14167805651551973,0.21551901960595546,0.11238681122209013,0.0947466295002753,0.09721373206036783,0.1254948002403705,0.0025383438971424846,RouteViews
RIS&RouteViews,0.029602963097754374,0.13780143099575898,0.02836788000214047,0.17683431465117294,0.19122109328921594,0.20256331125267577,0.15610643975801544,0.06657694659832741,0.04501977546859561,0.3994034034980661,0.3669097701999566,0.15049157672498664,0.16670453020179227,0.16505867193027168,0.13588205922737268,0.01359405497929142,0.08329104468287211,0.14319934767977258,0.11349554895895489,0.09089861143517043,0.045823244571409856,0.11073999361885613,0.006240886222265004,RIS&RouteViews
bgptools,0.08553749744171647,0.22977354915327072,0.04636135618894539,0.03512526387543085,0.023410576655972216,0.017364408038001836,0.019492048939282736,0.009332736127631617,0.15390543131598167,0.07838659697394201,0.08094617545484421,0.03460832692721732,0.03260671143943374,0.1084902722086239,0.02722833073857102,0.00107445289821239,0.028096014742608397,0.12014349787300992,0.08321226457673248,0.022618084733156525,0.050940032715976136,0.08573564445506754,0.088622402001162,bgptools
